Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Região Metropolitana até 2020 (Código),Região Metropolitana até 2020,"Geral, grupos, subgrupos, itens e subitens (Código)","Geral, grupos, subgrupos, itens e subitens",Mês (Código),Mês,IPCA - Variação mensal
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199101,janeiro 1991,21.27
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199102,fevereiro 1991,16.36
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199103,março 1991,3.25
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199104,abril 1991,5.50
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199105,maio 1991,5.19
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199106,junho 1991,12.17
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199107,julho 1991,13.03
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199109,setembro 1991,37.82
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199110,outubro 1991,27.73
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199111,novembro 1991,30.49
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199112,dezembro 1991,20.89
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199201,janeiro 1992,21.85
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199202,fevereiro 1992,23.77
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199203,março 1992,20.88
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199204,abril 1992,18.85
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199205,maio 1992,25.44
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199206,junho 1992,21.87
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199207,julho 1992,19.65
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199208,agosto 1992,24.62
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199209,setembro 1992,25.95
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199210,outubro 1992,26.15
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199211,novembro 1992,23.52
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199212,dezembro 1992,27.70
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199301,janeiro 1993,32.00
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199302,fevereiro 1993,24.34
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199303,março 1993,25.35
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199304,abril 1993,28.06
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199305,maio 1993,25.20
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199306,junho 1993,30.26
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199307,julho 1993,30.82
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199308,agosto 1993,32.24
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199309,setembro 1993,34.67
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199310,outubro 1993,33.82
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199311,novembro 1993,35.70
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199312,dezembro 1993,39.49
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199401,janeiro 1994,44.99
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199402,fevereiro 1994,40.99
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199403,março 1994,43.76
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199404,abril 1994,43.87
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199405,maio 1994,39.98
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199406,junho 1994,52.95
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),1313,1.Alimentação e bebidas,199407,julho 1994,11.64
