Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Região Metropolitana até 2020 (Código),Região Metropolitana até 2020,"Geral, grupo, subgrupo, item e subitem (Código)","Geral, grupo, subgrupo, item e subitem",Mês (Código),Mês,IPCA - Variação mensal
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,199908,agosto 1999,0.61
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,199909,setembro 1999,0.36
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,199910,outubro 1999,1.42
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,199911,novembro 1999,0.83
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,199912,dezembro 1999,0.49
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200001,janeiro 2000,0.67
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200002,fevereiro 2000,-0.23
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200003,março 2000,0.14
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200004,abril 2000,0.48
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200005,maio 2000,-0.07
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200006,junho 2000,0.18
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200007,julho 2000,1.75
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200008,agosto 2000,1.38
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200009,setembro 2000,0.12
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200010,outubro 2000,0.21
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200011,novembro 2000,0.13
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200012,dezembro 2000,0.33
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200101,janeiro 2001,0.25
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200102,fevereiro 2001,0.29
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200103,março 2001,0.30
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200104,abril 2001,0.33
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200105,maio 2001,0.28
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200106,junho 2001,0.97
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200107,julho 2001,1.77
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200108,agosto 2001,0.67
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200109,setembro 2001,0.09
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200110,outubro 2001,0.66
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200111,novembro 2001,0.56
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200112,dezembro 2001,0.52
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200201,janeiro 2002,0.19
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200202,fevereiro 2002,0.32
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200203,março 2002,0.42
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200204,abril 2002,0.80
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200205,maio 2002,0.34
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200206,junho 2002,0.27
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200207,julho 2002,1.30
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200208,agosto 2002,0.66
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200209,setembro 2002,0.59
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200210,outubro 2002,1.16
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200211,novembro 2002,2.88
