"Tabela 1100 - INPC - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de janeiro/2012 até dezembro/2019)"
"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Mês";"Geral, grupo, subgrupo, item e subitem";"Variável";""
"BR";"1";"Brasil";"janeiro 2012";"Índice geral";"INPC - Variação mensal";"0,51";"%"
"BR";"1";"Brasil";"janeiro 2012";"1.Alimentação e bebidas";"INPC - Variação mensal";"0,74";"%"
"BR";"1";"Brasil";"janeiro 2012";"11.Alimentação no domicílio";"INPC - Variação mensal";"0,60";"%"
"BR";"1";"Brasil";"janeiro 2012";"1101.Cereais, leguminosas e oleaginosas";"INPC - Variação mensal";"5,39";"%"
"BR";"1";"Brasil";"janeiro 2012";"1101002.Arroz";"INPC - Variação mensal";"1,29";"%"
"BR";"1";"Brasil";"janeiro 2012";"1101051.Feijão - mulatinho";"INPC - Variação mensal";"16,25";"%"
"BR";"1";"Brasil";"janeiro 2012";"1101052.Feijão - preto";"INPC - Variação mensal";"5,55";"%"
"BR";"1";"Brasil";"janeiro 2012";"1101053.Feijão - macassar (fradinho)";"INPC - Variação mensal";"1,28";"%"
"BR";"1";"Brasil";"janeiro 2012";"1101073.Feijão - carioca (rajado)";"INPC - Variação mensal";"15,10";"%"
"BR";"1";"Brasil";"janeiro 2012";"1101075.Feijão - branco";"INPC - Variação mensal";"...";"%"
"BR";"1";"Brasil";"janeiro 2012";"1101079.Milho em grão";"INPC - Variação mensal";"1,02";"%"
"BR";"1";"Brasil";"janeiro 2012";"1102.Farinhas, féculas e massas";"INPC - Variação mensal";"-0,12";"%"
"BR";"1";"Brasil";"janeiro 2012";"1102001.Farinha de arroz";"INPC - Variação mensal";"1,85";"%"
"BR";"1";"Brasil";"janeiro 2012";"1102006.Macarrão";"INPC - Variação mensal";"-0,98";"%"
"BR";"1";"Brasil";"janeiro 2012";"1102008.Fubá de milho";"INPC - Variação mensal";"0,90";"%"
"BR";"1";"Brasil";"janeiro 2012";"1102009.Amido de milho";"INPC - Variação mensal";"0,43";"%"
"BR";"1";"Brasil";"janeiro 2012";"1102010.Flocos de milho";"INPC - Variação mensal";"-2,55";"%"
"BR";"1";"Brasil";"janeiro 2012";"1102012.Farinha de trigo";"INPC - Variação mensal";"-0,40";"%"
"BR";"1";"Brasil";"janeiro 2012";"1102013.Farinha vitaminada";"INPC - Variação mensal";"1,06";"%"
"BR";"1";"Brasil";"janeiro 2012";"1102023.Farinha de mandioca";"INPC - Variação mensal";"0,17";"%"
"BR";"1";"Brasil";"janeiro 2012";"1102029.Massa semipreparada";"INPC - Variação mensal";"1,71";"%"
"BR";"1";"Brasil";"janeiro 2012";"1103.Tubérculos, raízes e legumes";"INPC - Variação mensal";"6,18";"%"
"BR";"1";"Brasil";"janeiro 2012";"1103003.Batata-inglesa";"INPC - Variação mensal";"8,97";"%"
"BR";"1";"Brasil";"janeiro 2012";"1103004.Inhame";"INPC - Variação mensal";"1,47";"%"
"BR";"1";"Brasil";"janeiro 2012";"1103005.Mandioca (aipim)";"INPC - Variação mensal";"3,48";"%"
"BR";"1";"Brasil";"janeiro 2012";"1103017.Abóbora";"INPC - Variação mensal";"20,97";"%"
"BR";"1";"Brasil";"janeiro 2012";"1103026.Pimentão";"INPC - Variação mensal";"-5,72";"%"
"BR";"1";"Brasil";"janeiro 2012";"1103028.Tomate";"INPC - Variação mensal";"8,21";"%"
"BR";"1";"Brasil";"janeiro 2012";"1103043.Cebola";"INPC - Variação mensal";"-3,60";"%"
"BR";"1";"Brasil";"janeiro 2012";"1103044.Cenoura";"INPC - Variação mensal";"11,23";"%"
"BR";"1";"Brasil";"janeiro 2012";"1103046.Mandioquinha (batata-baroa)";"INPC - Variação mensal";"7,54";"%"
"BR";"1";"Brasil";"janeiro 2012";"1104.Açúcares e derivados";"INPC - Variação mensal";"-0,66";"%"
"BR";"1";"Brasil";"janeiro 2012";"1104003.Açúcar refinado";"INPC - Variação mensal";"-0,33";"%"
"BR";"1";"Brasil";"janeiro 2012";"1104004.Açúcar cristal";"INPC - Variação mensal";"-1,49";"%"
"BR";"1";"Brasil";"janeiro 2012";"1104018.Balas";"INPC - Variação mensal";"-0,93";"%"
"BR";"1";"Brasil";"janeiro 2012";"1104023.Chocolate em barra e bombom";"INPC - Variação mensal";"0,46";"%"
"BR";"1";"Brasil";"janeiro 2012";"1104032.Sorvete";"INPC - Variação mensal";"0,17";"%"
"BR";"1";"Brasil";"janeiro 2012";"1104052.Chocolate e achocolatado em pó";"INPC - Variação mensal";"1,25";"%"
"BR";"1";"Brasil";"janeiro 2012";"1105.Hortaliças e verduras";"INPC - Variação mensal";"3,88";"%"
"BR";"1";"Brasil";"janeiro 2012";"1105001.Alface";"INPC - Variação mensal";"5,57";"%"
"BR";"1";"Brasil";"janeiro 2012";"1105004.Coentro";"INPC - Variação mensal";"3,07";"%"
"BR";"1";"Brasil";"janeiro 2012";"1105005.Couve";"INPC - Variação mensal";"5,21";"%"
"BR";"1";"Brasil";"janeiro 2012";"1105006.Couve-flor";"INPC - Variação mensal";"15,51";"%"
"BR";"1";"Brasil";"janeiro 2012";"1105010.Repolho";"INPC - Variação mensal";"1,63";"%"
