"Tabela 2951 - INPC - Variação mensal, acumulada no ano e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de julho/2006 até dezembro/2011)"
"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Variável";"Mês";"Geral, grupo, subgrupo, item e subitem";""
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"Índice geral";"0,11";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1.Alimentação e bebidas";"-0,20";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"11.Alimentação no domicílio";"-0,31";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1101.Cereais, leguminosas e oleaginosas";"-0,73";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1101002.Arroz";"4,07";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1101049.Feijão - manteiga";"3,75";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1101051.Feijão - mulatinho";"-7,42";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1101052.Feijão - preto";"-3,45";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1101053.Feijão - macassar (fradinho)";"-5,74";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1101073.Feijão - carioca (rajado))";"-9,58";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1101079.Milho em grão";"-0,25";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1102.Farinhas, féculas e massas";"0,92";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1102001.Farinha de arroz";"-0,01";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1102006.Macarrão";"1,04";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1102008.Fubá de milho";"-0,05";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1102009.Amido de milho";"-1,59";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1102010.Flocos de milho";"3,22";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1102012.Farinha de trigo";"2,36";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1102013.Farinha vitaminada";"0,92";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1102016.Flocos de cereais";"-1,20";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1102023.Farinha de mandioca";"0,60";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1102029.Massa semipreparada";"0,75";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1103.Tubérculos, raízes e legumes";"-6,71";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1103003.Batata-inglesa";"-1,12";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1103004.Inhame";"5,37";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1103005.Mandioca (aipim)";"-1,81";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1103017.Abóbora";"2,56";"%"
