"Tabela 634 - INPC - Variação acumulada no ano, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de janeiro/1991 até julho/1999)"
"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Geral, grupos, subgrupos, itens e subitens";"Mês";"Variável";""
"BR";"1";"Brasil";"Índice geral";"janeiro 1991";"INPC - Variação acumulada no ano";"20,95";"%"
"BR";"1";"Brasil";"Índice geral";"fevereiro 1991";"INPC - Variação acumulada no ano";"45,38";"%"
"BR";"1";"Brasil";"Índice geral";"março 1991";"INPC - Variação acumulada no ano";"62,52";"%"
"BR";"1";"Brasil";"Índice geral";"abril 1991";"INPC - Variação acumulada no ano";"70,66";"%"
"BR";"1";"Brasil";"Índice geral";"maio 1991";"INPC - Variação acumulada no ano";"82,06";"%"
"BR";"1";"Brasil";"Índice geral";"junho 1991";"INPC - Variação acumulada no ano";"101,78";"%"
"BR";"1";"Brasil";"Índice geral";"julho 1991";"INPC - Variação acumulada no ano";"126,28";"%"
"BR";"1";"Brasil";"Índice geral";"agosto 1991";"INPC - Variação acumulada no ano";"126,33";"%"
"BR";"1";"Brasil";"Índice geral";"setembro 1991";"INPC - Variação acumulada no ano";"202,49";"%"
"BR";"1";"Brasil";"Índice geral";"outubro 1991";"INPC - Variação acumulada no ano";"266,25";"%"
"BR";"1";"Brasil";"Índice geral";"novembro 1991";"INPC - Variação acumulada no ano";"363,23";"%"
"BR";"1";"Brasil";"Índice geral";"dezembro 1991";"INPC - Variação acumulada no ano";"475,10";"%"
"BR";"1";"Brasil";"Índice geral";"janeiro 1992";"INPC - Variação acumulada no ano";"25,92";"%"
"BR";"1";"Brasil";"Índice geral";"fevereiro 1992";"INPC - Variação acumulada no ano";"56,75";"%"
"BR";"1";"Brasil";"Índice geral";"março 1992";"INPC - Variação acumulada no ano";"90,63";"%"
"BR";"1";"Brasil";"Índice geral";"abril 1992";"INPC - Variação acumulada no ano";"130,36";"%"
"BR";"1";"Brasil";"Índice geral";"maio 1992";"INPC - Variação acumulada no ano";"186,80";"%"
"BR";"1";"Brasil";"Índice geral";"junho 1992";"INPC - Variação acumulada no ano";"246,60";"%"
"BR";"1";"Brasil";"Índice geral";"julho 1992";"INPC - Variação acumulada no ano";"323,13";"%"
"BR";"1";"Brasil";"Índice geral";"agosto 1992";"INPC - Variação acumulada no ano";"417,83";"%"
"BR";"1";"Brasil";"Índice geral";"setembro 1992";"INPC - Variação acumulada no ano";"542,00";"%"
"BR";"1";"Brasil";"Índice geral";"outubro 1992";"INPC - Variação acumulada no ano";"709,37";"%"
"BR";"1";"Brasil";"Índice geral";"novembro 1992";"INPC - Variação acumulada no ano";"894,64";"%"
"BR";"1";"Brasil";"Índice geral";"dezembro 1992";"INPC - Variação acumulada no ano";"1149,06";"%"
"BR";"1";"Brasil";"Índice geral";"janeiro 1993";"INPC - Variação acumulada no ano";"28,77";"%"
"BR";"1";"Brasil";"Índice geral";"fevereiro 1993";"INPC - Variação acumulada no ano";"60,69";"%"
"BR";"1";"Brasil";"Índice geral";"março 1993";"INPC - Variação acumulada no ano";"105,01";"%"
"BR";"1";"Brasil";"Índice geral";"abril 1993";"INPC - Variação acumulada no ano";"163,17";"%"
"BR";"1";"Brasil";"Índice geral";"maio 1993";"INPC - Variação acumulada no ano";"233,65";"%"
"BR";"1";"Brasil";"Índice geral";"junho 1993";"INPC - Variação acumulada no ano";"334,98";"%"
"BR";"1";"Brasil";"Índice geral";"julho 1993";"INPC - Variação acumulada no ano";"469,87";"%"
"BR";"1";"Brasil";"Índice geral";"agosto 1993";"INPC - Variação acumulada no ano";"659,86";"%"
"BR";"1";"Brasil";"Índice geral";"setembro 1993";"INPC - Variação acumulada no ano";"930,60";"%"
"BR";"1";"Brasil";"Índice geral";"outubro 1993";"INPC - Variação acumulada no ano";"1282,24";"%"
"BR";"1";"Brasil";"Índice geral";"novembro 1993";"INPC - Variação acumulada no ano";"1779,85";"%"
"BR";"1";"Brasil";"Índice geral";"dezembro 1993";"INPC - Variação acumulada no ano";"2489,11";"%"
"BR";"1";"Brasil";"Índice geral";"janeiro 1994";"INPC - Variação acumulada no ano";"41,32";"%"
"BR";"1";"Brasil";"Índice geral";"fevereiro 1994";"INPC - Variação acumulada no ano";"98,65";"%"
"BR";"1";"Brasil";"Índice geral";"março 1994";"INPC - Variação acumulada no ano";"184,23";"%"
"BR";"1";"Brasil";"Índice geral";"abril 1994";"INPC - Variação acumulada no ano";"306,05";"%"
"BR";"1";"Brasil";"Índice geral";"maio 1994";"INPC - Variação acumulada no ano";"479,56";"%"
"BR";"1";"Brasil";"Índice geral";"junho 1994";"INPC - Variação acumulada no ano";"759,14";"%"
"BR";"1";"Brasil";"Índice geral";"julho 1994";"INPC - Variação acumulada no ano";"825,72";"%"
"BR";"1";"Brasil";"Índice geral";"agosto 1994";"INPC - Variação acumulada no ano";"842,85";"%"
