"Tabela 651 - INPC - Variação acumulada no ano, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de agosto/1999 até junho/2006)"
"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Variável";"Mês";"Geral, grupo, subgrupo, item e subitem";""
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"Índice geral";"5,21";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1.Alimentação e bebidas";"2,47";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"11.Alimentação no domicílio";"2,94";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1101.Cereais, leguminosas e oleaginosas";"-25,57";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1101002.Arroz";"-15,45";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1101021.Coco-da-baía";"-3,56";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1101049.Feijão - manteiga";"-2,95";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1101051.Feijão - mulatinho";"-40,41";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1101052.Feijão - preto";"-37,31";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1101053.Feijão - macassar (fradinho)";"-45,24";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1101064.Feijão - jalo (enxofrão)";"-26,40";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1101068.Feijão - roxo";"-40,80";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1101073.Feijão - carioca (rajado))";"-43,95";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1101079.Milho em grão";"-2,83";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1101080.Milho em espiga";"-1,48";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1101082.Amendoim em grão";"-5,52";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1102.Farinhas, féculas e massas";"10,88";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1102001.Farinha de arroz";"-0,21";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1102006.Macarrão";"15,81";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1102008.Fubá de milho";"2,60";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1102009.Amido de milho";"1,60";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1102010.Flocos de milho";"2,87";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1102012.Farinha de trigo";"28,21";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1102013.Farinha vitaminada";"-0,22";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1102016.Flocos de cereais";"-0,24";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1102022.Fécula de mandioca";"11,57";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1102023.Farinha de mandioca";"-0,77";"%"
