"Tabela 7063 - INPC - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2020)"
"Geral, grupo, subgrupo, item e subitem";"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Mês";"Variável";""
"Índice geral";"BR";"1";"Brasil";"janeiro 2020";"INPC - Variação mensal";"0,19";"%"
"Índice geral";"BR";"1";"Brasil";"fevereiro 2020";"INPC - Variação mensal";"0,17";"%"
"Índice geral";"BR";"1";"Brasil";"março 2020";"INPC - Variação mensal";"0,18";"%"
"Índice geral";"BR";"1";"Brasil";"abril 2020";"INPC - Variação mensal";"-0,23";"%"
"Índice geral";"BR";"1";"Brasil";"maio 2020";"INPC - Variação mensal";"-0,25";"%"
"Índice geral";"BR";"1";"Brasil";"junho 2020";"INPC - Variação mensal";"0,30";"%"
"Índice geral";"BR";"1";"Brasil";"julho 2020";"INPC - Variação mensal";"0,44";"%"
"Índice geral";"BR";"1";"Brasil";"agosto 2020";"INPC - Variação mensal";"0,36";"%"
"Índice geral";"BR";"1";"Brasil";"setembro 2020";"INPC - Variação mensal";"0,87";"%"
"Índice geral";"BR";"1";"Brasil";"outubro 2020";"INPC - Variação mensal";"0,89";"%"
"Índice geral";"BR";"1";"Brasil";"novembro 2020";"INPC - Variação mensal";"0,95";"%"
"Índice geral";"BR";"1";"Brasil";"dezembro 2020";"INPC - Variação mensal";"1,46";"%"
"Índice geral";"BR";"1";"Brasil";"janeiro 2021";"INPC - Variação mensal";"0,27";"%"
"Índice geral";"BR";"1";"Brasil";"fevereiro 2021";"INPC - Variação mensal";"0,82";"%"
"Índice geral";"BR";"1";"Brasil";"março 2021";"INPC - Variação mensal";"0,86";"%"
"Índice geral";"BR";"1";"Brasil";"abril 2021";"INPC - Variação mensal";"0,38";"%"
"Índice geral";"BR";"1";"Brasil";"maio 2021";"INPC - Variação mensal";"0,96";"%"
"Índice geral";"BR";"1";"Brasil";"junho 2021";"INPC - Variação mensal";"0,60";"%"
"Índice geral";"BR";"1";"Brasil";"julho 2021";"INPC - Variação mensal";"1,02";"%"
"Índice geral";"BR";"1";"Brasil";"agosto 2021";"INPC - Variação mensal";"0,88";"%"
"Índice geral";"BR";"1";"Brasil";"setembro 2021";"INPC - Variação mensal";"1,20";"%"
"Índice geral";"BR";"1";"Brasil";"outubro 2021";"INPC - Variação mensal";"1,16";"%"
"Índice geral";"BR";"1";"Brasil";"novembro 2021";"INPC - Variação mensal";"0,84";"%"
"Índice geral";"BR";"1";"Brasil";"dezembro 2021";"INPC - Variação mensal";"0,73";"%"
"Índice geral";"BR";"1";"Brasil";"janeiro 2022";"INPC - Variação mensal";"0,67";"%"
"Índice geral";"BR";"1";"Brasil";"fevereiro 2022";"INPC - Variação mensal";"1,00";"%"
"Índice geral";"BR";"1";"Brasil";"março 2022";"INPC - Variação mensal";"1,71";"%"
"Índice geral";"BR";"1";"Brasil";"abril 2022";"INPC - Variação mensal";"1,04";"%"
"Índice geral";"BR";"1";"Brasil";"maio 2022";"INPC - Variação mensal";"0,45";"%"
"Índice geral";"BR";"1";"Brasil";"junho 2022";"INPC - Variação mensal";"0,62";"%"
"Índice geral";"BR";"1";"Brasil";"julho 2022";"INPC - Variação mensal";"-0,60";"%"
