Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Região Metropolitana até 2020 (Código),Região Metropolitana até 2020,"Geral, grupo, subgrupo, item e subitem (Código)","Geral, grupo, subgrupo, item e subitem",Mês (Código),Mês,IPCA - Peso mensal,IPCA - Variação acumulada em 12 meses,IPCA - Variação acumulada no ano,IPCA - Variação mensal
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,201201,janeiro 2012,100.0000,,0.53,0.53
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,201202,fevereiro 2012,100.0000,,0.87,0.33
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,201203,março 2012,100.0000,,0.94,0.07
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,201204,abril 2012,100.0000,,1.60,0.66
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,201205,maio 2012,100.0000,,1.82,0.22
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,201206,junho 2012,100.0000,,1.82,0.00
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,201207,julho 2012,100.0000,,2.19,0.36
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,201208,agosto 2012,100.0000,,2.51,0.31
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,201209,setembro 2012,100.0000,,2.99,0.47
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,201210,outubro 2012,100.0000,,3.54,0.53
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,201211,novembro 2012,100.0000,,4.07,0.52
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,201212,dezembro 2012,100.0000,4.72,4.72,0.62
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,201301,janeiro 2013,100.0000,5.20,0.99,0.99
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,201302,fevereiro 2013,100.0000,5.54,1.66,0.66
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,201303,março 2013,100.0000,5.98,2.15,0.48
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,201304,abril 2013,100.0000,5.85,2.69,0.54
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,201305,maio 2013,100.0000,5.85,2.91,0.21
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,201306,junho 2013,100.0000,6.15,3.21,0.29
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,201307,julho 2013,100.0000,5.84,3.28,0.06
