Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Região Metropolitana até 2020 (Código),Região Metropolitana até 2020,"Geral, grupo, subgrupo, item e subitem (Código)","Geral, grupo, subgrupo, item e subitem",Mês (Código),Mês,IPCA - Peso mensal,IPCA - Variação acumulada no ano,IPCA - Variação mensal
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200607,julho 2006,100.0000,0.92,0.15
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200608,agosto 2006,100.0000,0.96,0.04
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200609,setembro 2006,100.0000,1.13,0.18
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200610,outubro 2006,100.0000,1.43,0.29
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200611,novembro 2006,100.0000,1.69,0.26
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200612,dezembro 2006,100.0000,2.63,0.92
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200701,janeiro 2007,100.0000,0.50,0.50
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200702,fevereiro 2007,100.0000,1.01,0.50
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200703,março 2007,100.0000,1.31,0.30
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200704,abril 2007,100.0000,1.59,0.28
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200705,maio 2007,100.0000,1.89,0.29
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200706,junho 2007,100.0000,2.24,0.35
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200707,julho 2007,100.0000,2.07,-0.17
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200708,agosto 2007,100.0000,2.55,0.47
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200709,setembro 2007,100.0000,2.74,0.19
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200710,outubro 2007,100.0000,2.94,0.19
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200711,novembro 2007,100.0000,3.31,0.36
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200712,dezembro 2007,100.0000,3.89,0.56
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200801,janeiro 2008,100.0000,0.55,0.55
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200802,fevereiro 2008,100.0000,0.93,0.37
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200803,março 2008,100.0000,1.35,0.42
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200804,abril 2008,100.0000,1.79,0.43
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200805,maio 2008,100.0000,2.69,0.88
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200806,junho 2008,100.0000,3.53,0.82
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200807,julho 2008,100.0000,4.08,0.54
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200808,agosto 2008,100.0000,4.47,0.37
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200809,setembro 2008,100.0000,4.85,0.36
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200810,outubro 2008,100.0000,5.43,0.55
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200811,novembro 2008,100.0000,5.61,0.17
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200812,dezembro 2008,100.0000,5.61,0.01
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200901,janeiro 2009,100.0000,0.24,0.24
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200902,fevereiro 2009,100.0000,0.90,0.65
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200903,março 2009,100.0000,1.20,0.30
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200904,abril 2009,100.0000,1.65,0.44
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200905,maio 2009,100.0000,1.96,0.31
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200906,junho 2009,100.0000,2.32,0.36
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200907,julho 2009,100.0000,2.91,0.57
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200908,agosto 2009,100.0000,3.16,0.24
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200909,setembro 2009,100.0000,3.38,0.21
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200910,outubro 2009,100.0000,3.70,0.31
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200911,novembro 2009,100.0000,4.07,0.36
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,200912,dezembro 2009,100.0000,4.54,0.45
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201001,janeiro 2010,100.0000,1.00,1.00
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201002,fevereiro 2010,100.0000,1.79,0.78
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201003,março 2010,100.0000,2.09,0.30
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201004,abril 2010,100.0000,2.56,0.45
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201005,maio 2010,100.0000,2.90,0.33
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201006,junho 2010,100.0000,2.90,0.00
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201007,julho 2010,100.0000,2.88,-0.01
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201008,agosto 2010,100.0000,2.89,0.00
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201009,setembro 2010,100.0000,3.58,0.68
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201010,outubro 2010,100.0000,4.40,0.79
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201011,novembro 2010,100.0000,5.05,0.62
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201012,dezembro 2010,100.0000,5.79,0.70
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201101,janeiro 2011,100.0000,0.88,0.88
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201102,fevereiro 2011,100.0000,1.88,1.00
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201103,março 2011,100.0000,2.68,0.78
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201104,abril 2011,100.0000,3.49,0.79
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201105,maio 2011,100.0000,3.83,0.33
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201106,junho 2011,100.0000,4.05,0.21
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201107,julho 2011,100.0000,4.18,0.12
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201108,agosto 2011,100.0000,4.58,0.39
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201109,setembro 2011,100.0000,5.11,0.51
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201110,outubro 2011,100.0000,5.51,0.38
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201111,novembro 2011,100.0000,6.07,0.52
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7169,Índice geral,201112,dezembro 2011,100.0000,6.49,0.40
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7170,1.Alimentação e bebidas,200607,julho 2006,18.6223,-1.79,0.42
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7170,1.Alimentação e bebidas,200608,agosto 2006,18.6736,-1.40,0.40
7,Região Metropolitana até 2020,2,%,3501,São Paulo (SP),7170,1.Alimentação e bebidas,200609,setembro 2006,18.7417,-1.31,0.09
