Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Região Metropolitana até 2020 e Categoria Metropolitana (Código),Região Metropolitana até 2020 e Categoria Metropolitana,"Geral, grupo, subgrupo, item e subitem (Código)","Geral, grupo, subgrupo, item e subitem",Mês (Código),Mês,IPCA - Peso mensal,IPCA - Variação acumulada em 12 meses,IPCA - Variação acumulada no ano,IPCA - Variação mensal
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202001,janeiro 2020,100.0000,,0.33,0.33
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202002,fevereiro 2020,100.0000,,0.56,0.23
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202003,março 2020,100.0000,,0.66,0.09
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202004,abril 2020,100.0000,,0.29,-0.37
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202005,maio 2020,100.0000,,0.01,-0.28
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202006,junho 2020,100.0000,,0.30,0.29
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202007,julho 2020,100.0000,,0.55,0.24
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202008,agosto 2020,100.0000,,0.86,0.31
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202009,setembro 2020,100.0000,,1.31,0.44
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202010,outubro 2020,100.0000,,2.21,0.89
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202011,novembro 2020,100.0000,,3.27,1.04
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202012,dezembro 2020,100.0000,4.40,4.40,1.09
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202101,janeiro 2021,100.0000,4.30,0.24,0.24
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202102,fevereiro 2021,100.0000,4.93,1.07,0.83
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202103,março 2021,100.0000,5.61,1.83,0.75
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202104,abril 2021,100.0000,6.15,1.97,0.14
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202105,maio 2021,100.0000,7.28,2.77,0.78
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202106,junho 2021,100.0000,7.53,3.31,0.53
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202107,julho 2021,100.0000,8.33,4.33,0.98
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202108,agosto 2021,100.0000,9.12,5.41,1.04
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202109,setembro 2021,100.0000,9.73,6.47,1.01
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202110,outubro 2021,100.0000,10.22,7.90,1.34
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202111,novembro 2021,100.0000,10.02,8.83,0.86
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202112,dezembro 2021,100.0000,9.59,9.59,0.70
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202201,janeiro 2022,100.0000,10.02,0.63,0.63
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202202,fevereiro 2022,100.0000,10.26,1.69,1.05
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202203,março 2022,100.0000,11.04,3.17,1.46
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202204,abril 2022,100.0000,12.05,4.26,1.06
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202205,maio 2022,100.0000,11.58,4.63,0.35
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202206,junho 2022,100.0000,11.67,5.27,0.61
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202207,julho 2022,100.0000,10.50,5.19,-0.07
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202208,agosto 2022,100.0000,9.34,5.18,-0.01
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202209,setembro 2022,100.0000,7.91,4.84,-0.32
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202210,outubro 2022,100.0000,7.18,5.53,0.66
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202211,novembro 2022,100.0000,6.69,5.95,0.40
7,Região Metropolitana até 2020,2.0,%,3501,São Paulo (SP),7169,Índice geral,202212,dezembro 2022,100.0000,6.61,6.61,0.62
