CODIGO;ABRANGENCIA;NOME_ATIVO;N_MESES_TOTAL;N_MESES_AUSENTES;INTERVALOS_AUSENTES
1101051;São Paulo (RM);Feijão - mulatinho;427;427;1991-01 a 2026-07
1101052;São Paulo (RM);Feijão - preto;427;427;1991-01 a 2026-07
1101053;São Paulo (RM);Feijão - macáçar (fradinho);427;427;1991-01 a 2026-07
7101001;São Paulo (RM);Costureira;427;427;1991-01 a 2026-07
1106001;São Paulo (RM);Banana-da-terra;427;427;1991-01 a 2026-07
1106020;São Paulo (RM);Maracujá;427;427;1991-01 a 2026-07
1107096;São Paulo (RM);Peito;427;427;1991-01 a 2026-07
1107090;São Paulo (RM);Lagarto redondo;427;427;1991-01 a 2026-07
1108005;São Paulo (RM);Peixe - cavalinha;427;427;1991-01 a 2026-07
3201013;São Paulo (RM);Ventilador;427;427;1991-01 a 2026-07
1103004;São Paulo (RM);Inhame;427;427;1991-01 a 2026-07
2201003;São Paulo (RM);Carvão vegetal;427;427;1991-01 a 2026-07
1115050;São Paulo (RM);Salsicha em conserva;427;427;1991-01 a 2026-07
1108088;São Paulo (RM);Peixe - dourada;427;427;1991-01 a 2026-07
1114023;São Paulo (RM);Café solúvel;427;427;1991-01 a 2026-07
1109056;São Paulo (RM);Carne-seca e de sol;427;391;1994-01 a 2026-07
1111031;São Paulo (RM);Manteiga;427;361;"1991-01 a 2006-06; 2012-01 a 2026-07"
1116022;São Paulo (RM);Colorau;361;361;"1991-01 a 2006-06; 2012-01 a 2026-07"
1107085;São Paulo (RM);Filé-mignon;361;361;"1991-01 a 2006-06; 2012-01 a 2026-07"
7201003;São Paulo (RM);Ingresso para jogo;427;361;"1991-01 a 2006-06; 2012-01 a 2026-07"
1108032;São Paulo (RM);Peixe - serra;348;348;1991-01 a 2019-12
1108013;São Paulo (RM);Camarão;427;348;1991-01 a 2019-12
1108011;São Paulo (RM);Peixe - tainha;348;348;1991-01 a 2019-12
1108019;São Paulo (RM);Peixe - cavala;348;348;1991-01 a 2019-12
2103009;São Paulo (RM);Material de pintura;348;348;1991-01 a 2019-12
1103017;São Paulo (RM);Abóbora;348;348;1991-01 a 2019-12
4102011;São Paulo (RM);Roupa de dormir feminina;348;348;1991-01 a 2019-12
1114029;São Paulo (RM);Chá;348;348;1991-01 a 2019-12
7201095;São Paulo (RM);Pacote turístico;427;348;1991-01 a 2019-12
1115051;São Paulo (RM);Carne em conserva;348;348;1991-01 a 2019-12
1103005;São Paulo (RM);Mandioca (aipim);427;344;"1991-01 a 1999-07; 2006-07 a 2026-07"
4103007;São Paulo (RM);Vestido infantil;427;344;"1991-01 a 1999-07; 2006-07 a 2026-07"
1116041;São Paulo (RM);Vinagre;427;344;"1991-01 a 1999-07; 2006-07 a 2026-07"
