CODIGO;NOME_ATIVO;N_MESES_TOTAL;N_MESES_AUSENTES;INTERVALOS_AUSENTES
1101052;Feijão - preto;423;423;"1991-01 a 1991-07; 1991-09 a 2026-04"
1101051;Feijão - mulatinho;423;423;"1991-01 a 1991-07; 1991-09 a 2026-04"
1101053;Feijão - macassar (fradinho);423;423;"1991-01 a 1991-07; 1991-09 a 2026-04"
1103004;Inhame;423;423;"1991-01 a 1991-07; 1991-09 a 2026-04"
1108019;Peixe cavala;423;423;"1991-01 a 1991-07; 1991-09 a 2026-04"
1106006;Banana-maçã;423;423;"1991-01 a 1991-07; 1991-09 a 2026-04"
1106001;Banana-da-terra;423;423;"1991-01 a 1991-07; 1991-09 a 2026-04"
1105004;Coentro;423;423;"1991-01 a 1991-07; 1991-09 a 2026-04"
1107009;Fígado;423;423;"1991-01 a 1991-07; 1991-09 a 2026-04"
1107090;Lagarto redondo;423;423;"1991-01 a 1991-07; 1991-09 a 2026-04"
1107096;Peito;423;423;"1991-01 a 1991-07; 1991-09 a 2026-04"
1108002;Peixe anchova;423;423;"1991-01 a 1991-07; 1991-09 a 2026-04"
1111031;Manteiga;423;423;"1991-01 a 1991-07; 1991-09 a 2026-04"
1108088;Peixe dourada;423;423;"1991-01 a 1991-07; 1991-09 a 2026-04"
1108045;Caranguejo;423;423;"1991-01 a 1991-07; 1991-09 a 2026-04"
1108032;Peixe serra;423;423;"1991-01 a 1991-07; 1991-09 a 2026-04"
1115050;Salsicha em conserva;423;423;"1991-01 a 1991-07; 1991-09 a 2026-04"
2201003;Carvão vegetal;423;423;"1991-01 a 1991-07; 1991-09 a 2026-04"
2103012;Material de vidro;357;357;"1991-01 a 1991-07; 1991-09 a 2006-06; 2012-01 a 2026-04"
1115017;Pepino em conserva;357;357;"1991-01 a 1991-07; 1991-09 a 2006-06; 2012-01 a 2026-04"
1106004;Abacate;357;357;"1991-01 a 1991-07; 1991-09 a 2006-06; 2012-01 a 2026-04"
1103017;Abóbora;347;347;"1991-01 a 1991-07; 1991-09 a 2019-12"
1108009;Peixe pescadinha;347;347;"1991-01 a 1991-07; 1991-09 a 2019-12"
1108015;Peixe vermelho;347;347;"1991-01 a 1991-07; 1991-09 a 2019-12"
1103027;Quiabo;347;347;"1991-01 a 1991-07; 1991-09 a 2019-12"
2104013;Inseticida e raticida;347;347;"1991-01 a 1991-07; 1991-09 a 2019-12"
1115051;Carne em conserva;347;347;"1991-01 a 1991-07; 1991-09 a 2019-12"
1114029;Chá;347;347;"1991-01 a 1991-07; 1991-09 a 2019-12"
1116026;Fermento em pó;423;340;"1991-01 a 1991-07; 1991-09 a 1999-07; 2006-07 a 2026-04"
2103008;Material de eletricidade;423;340;"1991-01 a 1991-07; 1991-09 a 1999-07; 2006-07 a 2026-04"
1109056;Carne-seca e de sol;423;340;"1991-01 a 1991-07; 1991-09 a 1999-07; 2006-07 a 2026-04"
1116001;Leite de coco;423;340;"1991-01 a 1991-07; 1991-09 a 1999-07; 2006-07 a 2026-04"
1103005;Mandioca (aipim);423;340;"1991-01 a 1991-07; 1991-09 a 1999-07; 2006-07 a 2026-04"
1107085;Filé-mignon;423;340;"1991-01 a 1991-07; 1991-09 a 1999-07; 2006-07 a 2026-04"
1104060;Doce de frutas em pasta;423;340;"1991-01 a 1991-07; 1991-09 a 1999-07; 2006-07 a 2026-04"
1106020;Maracujá;423;340;"1991-01 a 1991-07; 1991-09 a 1999-07; 2006-07 a 2026-04"
1108004;Peixe corvina;423;340;"1991-01 a 1991-07; 1991-09 a 1999-07; 2006-07 a 2026-04"
1116022;Colorau;327;327;"1991-01 a 1991-07; 1991-09 a 2011-12; 2020-01 a 2026-04"
1104004;Açúcar cristal;423;327;"1991-01 a 1991-07; 1991-09 a 2011-12; 2020-01 a 2026-04"
1109058;Carne de porco salgada e defumada;357;322;"1994-01 a 2006-06; 2012-01 a 2026-04"
1108011;Peixe - tainha;321;321;1999-08 a 2026-04
1114004;Polpa de açaí;321;321;1999-08 a 2026-04
1112025;Pão de queijo;321;321;1999-08 a 2026-04
1102001;Farinha de arroz;321;321;1999-08 a 2026-04
1114023;Café solúvel;321;321;1999-08 a 2026-04
1108005;Peixe cavalinha;281;281;"1991-01 a 1991-07; 1991-09 a 2006-06; 2012-01 a 2019-12"
1108057;Peixe surubim;281;281;"1991-01 a 1991-07; 1991-09 a 2006-06; 2012-01 a 2019-12"
1116013;Sal refinado;423;273;"1991-01 a 1991-07; 1991-09 a 1993-12; 2006-07 a 2026-04"
1102013;Farinha vitaminada;347;264;"1991-01 a 1991-07; 1991-09 a 1999-07; 2006-07 a 2019-12"
1116041;Vinagre;423;264;"1991-01 a 1991-07; 1991-09 a 1999-07; 2006-07 a 2019-12"
1107081;Cupim;261;261;"1991-01 a 1991-07; 1991-09 a 2006-06; 2020-01 a 2026-04"
1109012;Salame e salaminho;255;255;"1999-08 a 2006-06; 2012-01 a 2026-04"
1107031;Carne de carneiro;255;255;"1999-08 a 2006-06; 2012-01 a 2026-04"
1106011;Laranja-da-baía;357;255;"1999-08 a 2006-06; 2012-01 a 2026-04"
1108076;Peixe acará;251;251;"1991-01 a 1991-07; 1991-09 a 2011-12"
1108033;Peixe pargo;251;251;"1991-01 a 1991-07; 1991-09 a 2011-12"
1104066;Doce de leite;251;251;"1991-01 a 1991-07; 1991-09 a 2011-12"
1201049;Chopp;251;251;"1991-01 a 1991-07; 1991-09 a 2011-12"
1107094;Pá;423;251;"1991-01 a 1991-07; 1991-09 a 2011-12"
1106015;Limão;423;245;1999-08 a 2019-12
1109088;Carne de hambúrguer;245;245;1999-08 a 2019-12
1111012;Creme de leite;245;245;1999-08 a 2019-12
1116048;Caldo concentrado;423;244;"1991-01 a 1991-07; 1991-09 a 1999-07; 2006-07 a 2011-12; 2020-01 a 2026-04"
1111008;Leite condensado;321;238;2006-07 a 2026-04
2103048;Areia;238;238;2006-07 a 2026-04
1107097;Capa de filé;238;238;2006-07 a 2026-04
1102008;Fubá de milho;423;238;2006-07 a 2026-04
1106084;Goiaba;238;238;2006-07 a 2026-04
1108013;Camarão;423;238;2006-07 a 2026-04
2101012;Mudança;321;238;2006-07 a 2026-04
2104016;Esponja e bombril;423;209;"1994-01 a 1999-07; 2006-07 a 2011-12; 2020-01 a 2026-04"
1108003;Peixe badejo;198;198;"1991-01 a 1991-07; 1991-09 a 1999-07; 2012-01 a 2019-12"
1107008;Vísceras de boi;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1101068;Feijão - roxo;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1103002;Batata-doce;261;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1106013;Laranja seleta;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1105017;Almeirão;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1108001;Filé de peixe;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1101064;Feijão - jalo (enxofrão);185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1102022;Fécula de mandioca;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1108044;Peixe cioba;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1116062;Pimenta-do-reino;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1116055;Cominho;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1201032;Caldos;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1109024;Camarão seco salgado;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
1108064;Siri;185;185;"1991-01 a 1991-07; 1991-09 a 2006-06"
2104014;Cera e lustra-móveis;251;184;"1991-01 a 1991-07; 1991-09 a 1993-12; 1999-08 a 2011-12"
1102009;Amido de milho;179;179;"1999-08 a 2006-06; 2012-01 a 2019-12"
1108028;Peixe - dourado;179;179;"1999-08 a 2006-06; 2012-01 a 2019-12"
1105013;Agrião;281;179;"1999-08 a 2006-06; 2012-01 a 2019-12"
1114085;Outras bebidas alcoólicas;423;178;"1991-01 a 1991-07; 1991-09 a 1999-07; 2020-01 a 2026-04"
1115056;Sopas desidratadas;423;178;"1991-01 a 1991-07; 1991-09 a 1999-07; 2020-01 a 2026-04"
