Mes,mesn,BRÍndice geral,BR1.Alimentação e bebidas,BR2.Habitação,BR2101001.Aluguel residencial,BR2101002.Condomínio,BR2101003.Imposto predial,BR2101004.Taxa de água e esgoto,BR3.Artigos de residência,BR4.Vestuário,BR5.Transportes,BR6.Saúde e cuidados pessoais,BR7.Despesas pessoais,BR8.Educação,BR9.Comunicação,SPÍndice geral,SP1.Alimentação e bebidas,SP2.Habitação,SP2101001.Aluguel residencial,SP2101002.Condomínio,SP2101003.Imposto predial,SP2101004.Taxa de água e esgoto,SP3.Artigos de residência,SP4.Vestuário,SP5.Transportes,SP6.Saúde e cuidados pessoais,SP7.Despesas pessoais,SP8.Educação,SP9.Comunicação
agosto 1999,08/01/99,0.56,0.13,0.84,-0.13,0.04,0.41,3.13,0.08,-0.12,1.41,0.93,-0.13,0.4,0,0.61,0.36,1.16,-0.04,0.01,0.58,7.9,-0.4,0.03,1.35,0.52,-0.21,0.33,0.01
setembro 1999,09/01/99,0.31,0.34,0.2,-0.48,0.08,0.41,1.44,0.13,0.35,0.55,0.69,-0.09,0.07,-0.24,0.36,0.48,0.09,-0.65,0.1,0.58,1.08,0.3,0.32,0.38,1.23,-0.26,0.05,0.19
outubro 1999,10/01/99,1.19,1.77,0.02,-0.45,0.32,0.41,1.18,0.34,1.04,3.24,0.4,0.18,0,-0.06,1.42,1.98,-0.17,-0.65,0.32,0.58,0,0.56,1.13,4.1,0.46,0.37,-0.02,0.07
novembro 1999,11/01/99,0.95,1.35,0.43,-0.21,0.44,0.34,0.97,0.91,0.61,2.15,0.29,0.04,0.16,-0.07,0.83,0.79,0.03,-0.43,0.6,0.58,0,1.49,0.06,2.5,0.3,-0.34,0.3,0.3
dezembro 1999,12/01/99,0.6,1.41,0.41,-0.11,0.39,0.34,2.04,0.62,0.69,0.33,0.15,0.33,0.46,-0.04,0.49,1.44,0.06,-0.11,0.56,0.58,0,0.35,0.62,0.28,0.06,0.5,0.15,-0.04
janeiro 2000,01/01/00,0.62,0.84,0.19,-0.16,0.56,0,0.25,0.43,0.21,0.39,0.59,0.12,3.05,1.82,0.67,0.48,0.13,-0.11,0.79,0,0,0.16,-0.16,0.11,0.33,0.2,5.88,7.47
fevereiro 2000,02/01/00,0.13,-0.25,0.01,-0.17,0.36,0.05,-0.64,0.29,-0.67,0.4,0.22,0.36,1.32,0.04,-0.23,-0.66,-0.07,-0.33,0.49,0,0,-0.2,-0.82,0.49,0.11,0.43,-3.78,0
março 2000,03/01/00,0.22,-0.46,0.17,-0.36,0.4,0.11,1.82,0.28,-1.44,1.68,0.27,-0.07,-0.26,0.07,0.14,-0.06,-0.09,-0.62,0.52,0,0,0.53,-1.41,0.79,0.62,-0.15,-0.5,0
abril 2000,04/01/00,0.42,-0.36,0,-0.36,0.12,0.11,0.03,0.19,0.72,0.51,0.07,3.55,0.01,-0.29,0.48,-0.07,-0.06,-0.42,0.19,0,0,-0.05,1.13,0.6,-0.03,3.48,-0.06,0.12
maio 2000,05/01/00,0.01,-0.67,0.45,-0.16,0.15,0.11,0.01,0.25,0.35,0.13,0.03,0.13,0.07,0.18,-0.07,-0.42,0.1,-0.06,0.16,0,0,0.08,0.66,-0.25,-0.26,0.38,0.15,0.32
junho 2000,06/01/00,0.23,0.11,-0.03,-0.39,-0.05,0.11,0.58,0.42,0.92,0.03,0.44,0.04,-0.19,2.68,0.18,0.79,-0.39,-0.42,-0.26,0,0,0.55,0.98,-0.03,-0.01,-0.47,-0.47,2.76
julho 2000,07/01/00,1.61,1.78,1.29,-0.22,-0.74,0.12,0,0.33,0.79,2.98,0.48,0.2,-0.25,7.61,1.75,1.24,2.33,-0.25,-2,0,0,0.01,1,3.57,0.53,-0.11,-0.73,7.95
agosto 2000,08/01/00,1.31,2.07,0.43,-0.13,0.13,0.12,0.07,0.82,0.42,2.7,0.89,0.32,0.2,-0.04,1.38,2.18,0.21,-0.21,0.08,0,0,1.14,0.91,2.55,1.21,0.55,0.45,-0.12
setembro 2000,09/01/00,0.23,0.53,0.14,-0.14,0.14,0.12,0.13,0.61,0.57,-0.01,-0.11,0.18,0.26,0.19,0.12,-0.09,-0.07,-0.22,0.06,0,0,1.06,0.79,-0.03,-0.05,0.2,0.7,0.49
outubro 2000,10/01/00,0.14,0.16,0.04,-0.1,0.12,0.12,0.07,0.39,0.63,0.13,-0.06,0.17,0.1,0.05,0.21,0.32,-0.05,-0.12,0.05,0,0,0.54,0.91,0.13,0.19,0.26,-0.05,0.09
